,AY274119.3,AY278488.2,AY304486.1,AY613950.1,DQ022305.2,DQ071615.1,DQ412042.1,DQ412043.1,FJ588686.1,HQ166910.1,JX993987.1,JX993988.1,KC881005.1,KC881006.1,KF636752.1,KJ473814.1,KJ473815.1,KJ473816.1,KJ473821.1,KP886809.1,KY352407.1,KY417142.1,KY417143.1,KY417146.1,KY417151.1,MG772933.1,NC_001846.1,NC_005147.1,NC_006577.2,NC_009019.1,NC_009020.1,NC_009021.1,NC_014470.1,NC_019843.3,NC_030886.1
JX993987.1,0.9148042408691951,0.9148041582922285,0.9148043216076597,0.9148025942872519,0.9506248605457117,0.9149976888001569,0.9885867246052731,0.7898079779128636,0.9149426348453168,0.027345232715836547,1.0,0.9153459618950348,0.692606902762191,0.7358333926975146,0.016973733629478387,0.9493440461205093,0.9148475281131105,0.7372832145825657,0.0062234769017351895,0.9148213978726575,0.932719910405164,0.7500972459895564,0.9148745078597699,0.9150025530282767,0.7449665781503768,0.9507406544387332,0.01872424891114724,0.0017946086537848158,0.003380700410544988,0.018940358411390842,0.008055281595185391,0.04224844596928059,0.0806943875587792,0.019657212182722227,0.009772756620974645
JX993988.1,0.9981355767413312,0.9981354235116975,0.9981353718186067,0.9981353364258179,0.9800092518274705,0.9999782100660447,0.92488706142966,0.7200381685912159,0.9999861821897846,0.02730993476481737,0.9153459618950348,1.0,0.7264396197975087,0.8079322580119253,0.01441787937278179,0.9768457560904223,0.9999774650517289,0.8092201656919874,0.006059776134920356,0.9999806020694312,0.9849373671142814,0.8242429259163244,0.9999864562060533,0.9999847989660535,0.8186007842196973,0.9805591382817966,0.01869300434334291,0.0004932342572720445,0.0015613873703759532,0.0196059944153584,0.006425032849825674,0.03480602325641551,0.06623615062729167,0.021397410205851154,0.012306523372158082
KC881005.1,0.7360209806954464,0.7360214272414356,0.736022203194237,0.7360063407876938,0.7556712862683799,0.7257496432792235,0.6949936267626536,0.6909970744252302,0.7268662453012653,0.043594897966222325,0.692606902762191,0.7264396197975087,1.0,0.8538219565770537,0.02369512852253191,0.7604265049072902,0.7249455021369315,0.8477839737552689,0.006506917747944293,0.7260033612707789,0.7587148170059461,0.8641922843958538,0.726325737077405,0.7267835950466986,0.8601832852100698,0.7416153675028473,0.03881480548913747,0.03153146345373028,0.02059405755333907,0.013612741606130931,0.008039288858926,0.036770541818264196,0.11900676468306273,0.021580597393246494,0.008305308852060005
KC881006.1,0.8228005798593022,0.8228025310104329,0.8228035194804825,0.822781592215179,0.8087020587017365,0.8072608029799102,0.7351976232121538,0.7545486771775419,0.8083305079799173,0.054752080489786116,0.7358333926975146,0.8079322580119253,0.8538219565770537,1.0,0.027262451160250018,0.819245066826597,0.8058923865232468,0.9872719980888051,0.008875118822506287,0.8069392760155771,0.808892653908309,0.9883579961032223,0.8075807724019446,0.8084315453318529,0.9857233821047938,0.7971326723761978,0.05836128659554325,0.02135544700539232,0.02143484276479675,0.01991834085383158,0.008134128568523273,0.03893245946763149,0.22189653835764225,0.04104614036245405,0.01175030258083256
KF636752.1,0.01408267344996452,0.014080086836460845,0.014080086586339002,0.014076057185322946,0.01737167551891115,0.014204334245798747,0.020064693056403286,0.09670472704241061,0.014174462912781178,0.07885236495213235,0.016973733629478387,0.01441787937278179,0.02369512852253191,0.027262451160250018,1.0,0.016744093176042772,0.014150514121788112,0.027766202090054093,0.018329382562684175,0.01418068998151943,0.017477387010778972,0.0272755920910266,0.014148507241203923,0.014174381167921387,0.02645236619414269,0.04398695044930097,0.02247711527052713,0.0032232117363284597,0.11889492050199672,0.011202537397650104,0.01041177858760444,0.02769668069333635,0.4271298875777253,0.025942519916736,0.008193840008477275
KJ473814.1,0.9771932397721125,0.9771930494212736,0.9771933713291617,0.9771913334883631,0.9957556501145746,0.9768546980141712,0.9579085402605543,0.7894889545775362,0.9768495461672047,0.02814321143167256,0.9493440461205093,0.9768457560904223,0.7604265049072902,0.819245066826597,0.016744093176042772,1.0,0.9766540506837517,0.8202230462525965,0.006241210554041335,0.9766566643501322,0.9914017815976224,0.8323967806808289,0.976753888805882,0.9769645308091404,0.8265486977009259,0.9940675863277452,0.023630429851339937,0.0013554148752638257,0.0028909285880662464,0.019485880350110587,0.007262314800908927,0.038750287465490786,0.10270679812736724,0.02388636248155922,0.011608550551752571
KJ473815.1,0.9979202977281624,0.9979203906842874,0.9979203466299321,0.997920310953237,0.9799028504272655,0.9999847280153739,0.9248686649108427,0.7193740108075374,0.9999830737446993,0.02734748668228105,0.9148475281131105,0.9999774650517289,0.7249455021369315,0.8058923865232468,0.014150514121788112,0.9766540506837517,1.0,0.8074561335274223,0.006057216257837441,0.999992569939005,0.9849454509991733,0.8221934241462562,0.9999899483031789,0.9999798705933234,0.8165206261143607,0.9805467135951781,0.018213996096361047,5.367988088251891e-06,0.0015656910805731067,0.01955359267225322,0.00640982118832674,0.034863436655390156,0.06586813725007405,0.021435743447519813,0.012304015570570237
KJ473816.1,0.8241293810365735,0.8241471706486704,0.8241533947010488,0.8241246107823071,0.8098673449640071,0.808807464039974,0.7358660897293514,0.7548481283049239,0.8097183669667044,0.06757384745394486,0.7372832145825657,0.8092201656919874,0.8477839737552689,0.9872719980888051,0.027766202090054093,0.8202230462525965,0.8074561335274223,1.0,0.008657423412231371,0.8083315246323921,0.809963052127246,0.9819100529897082,0.8089027603636594,0.80971116666631,0.9739007662986379,0.7986028276645446,0.03821976677926841,0.02101078299795902,0.023963154192479907,0.018630129199937347,0.0065234623979453996,0.04152130215400017,0.21988652018007557,0.040678087372765834,0.011958046354009594
KJ473821.1,0.005975737495275554,0.005975563995410711,0.005975212945520911,0.005975645234486335,0.006323736002807227,0.006044586659601422,0.008085351398519349,0.007976164304670146,0.006047036277651418,0.0347231728535846,0.0062234769017351895,0.006059776134920356,0.006506917747944293,0.008875118822506287,0.018329382562684175,0.006241210554041335,0.006057216257837441,0.008657423412231371,1.0,0.006044266162964425,0.005540971254835465,0.007973213065217099,0.006068926864746013,0.006067429804274468,0.008920197131604312,0.00619814807116141,0.030607894529651826,0.0051388245872249876,0.06384030848330739,0.0471211050459143,0.11634783070274884,0.037967931925437924,0.007296954415816998,0.29037574911127473,0.007300980586471837
KP886809.1,0.9979468148232348,0.997946701583859,0.9979466134943423,0.9979466255535743,0.9799293884976823,0.9999815868672955,0.9248740863012159,0.7194929850728774,0.9999891193824265,0.02730981020851857,0.9148213978726575,0.9999806020694312,0.7260033612707789,0.8069392760155771,0.01418068998151943,0.9766566643501322,0.999992569939005,0.8083315246323921,0.006044266162964425,1.0,0.984948670729051,0.8232247590579649,0.9999940825866984,0.9999833981786935,0.8175747468020241,0.9805395881094763,0.01866931507568791,1.5984505259748087e-05,0.001552327150999786,0.01958062807683415,0.006420051540549025,0.034869316575339926,0.06579598643118556,0.021424670237020667,0.012321826233810382
KY352407.1,0.9828891096471475,0.9828889372607366,0.9828889748483561,0.9828885090566464,0.9934633450116417,0.9849513697063027,0.9427761232936169,0.7800048888564234,0.9849430214248669,0.025699328248229285,0.932719910405164,0.9849373671142814,0.7587148170059461,0.808892653908309,0.017477387010778972,0.9914017815976224,0.9849454509991733,0.809963052127246,0.005540971254835465,0.984948670729051,1.0,0.8215378561404245,0.9849373855204312,0.9849517103826664,0.8158245029786853,0.9926207673298095,0.023118035753904722,0.004020023488376968,0.0032270800829502524,0.01744060911755588,0.006534426050753466,0.03523568135296973,0.09094077572623213,0.022959335457056116,0.010757670073219934
